year,month,str
2007,9,76.11000061
2008,4,149.5
2008,8,30.78000069
2008,12,149.5
2008,2,149.5
2008,1,149.5
2008,7,38.47000122
2008,6,47.34999847
2008,3,149.5
2008,5,120.7600021
2008,11,149.5
2008,10,85.31999969
2008,9,25.03000069
2009,4,149.5
2009,8,40.56000137
2009,12,149.5
2009,2,149.5
2009,1,149.5
2009,7,45.43000031
2009,6,98.27999878
2009,3,149.5
2009,5,149.5
2009,11,149.5
2009,10,149.5
2009,9,37.16999817
2010,4,149.5
2010,8,40.25
2010,12,149.5
2010,2,149.5
2010,1,149.5
2010,7,45.16999817
2010,6,91.19999695
2010,3,149.5
2010,5,149.5
2010,11,149.5
2010,10,149.5
2010,9,36.61999893
2011,4,149.5
2011,8,45.36000061
2011,12,149.5
2011,2,149.5
2011,1,149.5
2011,7,69.52999878
2011,6,149.5
2011,3,149.5
2011,5,149.5
2011,11,149.5
2011,10,149.5
2011,9,54.33000183
2012,4,149.5
2012,8,37.56999969
2012,12,149.5
2012,2,149.5
2012,1,149.5
2012,7,44.04000092
2012,6,59.65000153
2012,3,149.5
2012,5,104.6699982
2012,11,149.5
2012,10,144.6600037
2012,9,32.38000107
2013,4,149.5
2013,8,39.31999969
2013,12,149.5
2013,2,149.5
2013,1,149.5
2013,7,45.68000031
2013,6,105.4300003
2013,3,149.5
2013,5,131.6900024
2013,11,149.5
2013,10,118.2600021
2013,9,100.9400024
2014,4,149.5
2014,8,58.33000183
2014,12,149.5
2014,2,149.5
2014,1,149.5
2014,7,42.63000107
2014,6,47.18000031
2014,3,149.5
2014,5,118.5699997
