year,month,cwd
1971,1,15.46000004
1971,7,110
1971,6,57.49000168
1971,3,28.28000069
1971,5,67.18000031
1971,11,24.94000053
1971,10,56.93999863
1971,9,106.6999969
1972,4,46.88000107
1972,8,147.1000061
1972,12,14.78999996
1972,2,23.21999931
1972,1,14.84000015
1972,7,153.75
1972,6,89.80000305
1972,3,36.33000183
1972,5,73.56999969
1972,11,22.42000008
1972,10,49.45999908
1972,9,104.3000031
1973,4,57.40999985
1973,8,145.8999939
1973,12,15.78999996
1973,2,19.73999977
1973,1,12.75
1973,7,138.5399933
1973,6,88.26999664
1973,3,30.27000046
1973,5,75.77999878
1973,11,21.19000053
1973,10,51.41999817
1973,9,92.81999969
1974,4,41.66999817
1974,8,82.37999725
1974,12,16.44000053
1974,2,22.07999992
1974,1,13.23999977
1974,7,80.73000336
1974,6,88.66000366
1974,3,23.22999954
1974,5,73.01999664
1974,11,26.04000092
1974,10,67.90000153
1974,9,106.1999969
1975,4,37.29999924
1975,8,142.1999969
1975,12,18.03000069
1975,2,19.20999908
1975,1,15.92000008
1975,7,117.9199982
1975,6,86.06999969
1975,3,21.60000038
1975,5,72.26999664
1975,11,24.46999931
1975,10,54.75
1975,9,76.45999908
1976,4,54.11000061
1976,8,137.3000031
1976,12,18.46999931
1976,2,22.84000015
1976,1,16.70000076
1976,7,170.6999969
1976,6,101.5
1976,3,32.40000153
1976,5,75.12999725
1976,11,28.71999931
1976,10,57.52999878
1976,9,55.81000137
1977,4,61.5
1977,8,148.8000031
1977,12,16.45999908
1977,2,25.18000031
1977,1,15.85000038
1977,7,140.0599976
1977,6,89.80999756
1977,3,31.11000061
1977,5,45.02999878
1977,11,26.34000015
1977,10,59.22999954
1977,9,105.5999985
1978,4,40.88000107
1978,8,146.1999969
1978,12,15.64000034
1978,2,21.07999992
1978,1,14
1978,7,131.5899963
1978,6,84.75
1978,3,25.25
1978,5,72.37999725
1978,11,24.14999962
1978,10,59.41999817
1978,9,98.08999634
1979,4,51.13000107
1979,8,142
1979,12,17.67000008
1979,2,18.80999947
1979,1,13.97000027
1979,7,128.7200012
1979,6,85.62999725
1979,3,27.89999962
1979,5,60.49000168
1979,11,24.19000053
1979,10,65.59999847
1979,9,106.1500015
1980,4,58.13999939
1980,8,144.6000061
1980,12,18.52000046
1980,2,21.06999969
1980,1,14.27999973
1980,7,92.25
1980,6,81.06999969
1980,3,31.88999939
1980,5,67.66000366
1980,11,27.77000046
1980,10,68.90000153
1980,9,108.8000031
1981,4,60.09999847
1981,8,150.8999939
1981,12,16.54999924
1981,2,23.59000015
1981,1,15.71000004
1981,7,148
1981,6,89.75
1981,3,32.74000168
1981,5,72.48000336
1981,11,24.29999924
1981,10,54.00999832
1981,9,110.9000015
1982,4,40.70000076
1982,8,146.6000061
1982,12,15.03999996
1982,2,20.56999969
1982,1,12.75
1982,7,113.2200012
1982,6,67.05000305
1982,3,21.87999916
1982,5,74.26999664
1982,11,22.26000023
1982,10,49.02999878
1982,9,104.5
1983,4,38.50999832
1983,8,128.0599976
1983,12,15.19999981
1983,2,19.68000031
1983,1,14.14000034
1983,7,57.13000107
1983,6,82.81999969
1983,3,21.92000008
1983,5,70.97000122
1983,11,22.42000008
1983,10,53.08000183
1983,9,109.9000015
1984,4,55.15000153
1984,8,149
1984,12,15.46000004
1984,2,23.37000084
1984,1,16.46999931
1984,7,117.3799973
1984,6,59.04999924
1984,3,35.15000153
1984,5,75.34999847
1984,11,21.93000031
1984,10,58.74000168
1984,9,104.9700012
1985,4,62.04999924
1985,8,145.3000031
1985,12,16.96999931
1985,2,23.29000092
1985,1,15.92000008
1985,7,176.3999939
1985,6,111.7099991
1985,3,28.87999916
1985,5,72.54000092
1985,11,21.81999969
1985,10,55.68999863
1985,9,101.5999985
1986,4,57.29000092
1986,8,152.3000031
1986,12,17.5
1986,2,20.61000061
1986,1,17.23999977
1986,7,145.7400055
1986,6,88.70999908
1986,3,25.56999969
1986,5,72.16000366
1986,11,26.72999954
1986,10,55.06999969
1986,9,99.90000153
1987,4,63.70000076
1987,8,149.1999969
1987,12,14.40999985
1987,2,22.84000015
1987,1,14.76000023
1987,7,127.7799988
1987,6,88.87999725
1987,3,32.56999969
1987,5,74.65000153
1987,11,26.11000061
1987,10,71.69999695
1987,9,112.1999969
1988,4,58.50999832
1988,8,151.3999939
1988,12,16.26000023
1988,2,25.32999992
1988,1,14.43999958
1988,7,131.3300018
1988,6,63.86999893
1988,3,35.36999893
1988,5,70.05000305
1988,11,27.89999962
1988,10,73.40000153
1988,9,112.3000031
1989,4,60.65000153
1989,8,142.3000031
1989,12,18.55999947
1989,2,20.87000084
1989,1,14.98999977
1989,7,150.7400055
1989,6,88.61000061
1989,3,23.51000023
1989,5,71.40000153
1989,11,26.63999939
1989,10,50.27000046
1989,9,70.73000336
1990,4,62.04999924
1990,8,146.1999969
1990,12,15.14000034
1990,2,20.79999924
1990,1,15.39000034
1990,7,131.8600006
1990,6,84.86000061
1990,3,34.47999954
1990,5,47.97999954
1990,11,26.92000008
1990,10,64.37999725
1990,9,109.8000031
1991,4,54.72000122
1991,8,144.1999969
1991,12,17.22999954
1991,2,26.23999977
1991,1,16.30999947
1991,7,113
1991,6,57.52999878
1991,3,20.77000046
1991,5,49.81999969
1991,11,26.20999908
1991,10,71
1991,9,100.3899994
1992,4,61.99000168
1992,8,151.1000061
1992,12,14.61999989
1992,2,21.32999992
1992,1,16.23999977
1992,7,127.8499985
1992,6,77.41999817
1992,3,34.52999878
1992,5,78.98000336
1992,11,25.43000031
1992,10,69.19999695
1992,9,111.5999985
1993,4,56
1993,8,114.4599991
1993,12,16.17000008
1993,2,18.68000031
1993,1,12.60999966
1993,7,88.29000092
1993,6,57.56999969
1993,3,28.79999924
1993,5,71.12999725
1993,11,25.73999977
1993,10,67.09999847
1993,9,110.3000031
1994,4,58.56999969
1994,8,151.1000061
1994,12,15.28999996
1994,2,21.25
1994,1,16.23999977
1994,7,143.6199951
1994,6,86.23999786
1994,3,35.70999908
1994,5,72
1994,11,21.38999939
1994,10,60.34000015
1994,9,110.6999969
1995,4,41.52999878
1995,8,148.8999939
1995,12,17.77000046
1995,2,26.38999939
1995,1,13.44999981
1995,7,66.37000275
