"","Population","treatment","compound type","compound","value"
"464","SQ1","C","GSL","MSOO",8.7486725
"465","SQ1","C","GSL","OHI3M",0
"466","SQ1","C","GSL","X4MT",4.208665
"467","SQ1","C","GSL","Flavonol16",19.20827625
"468","SQ1","C","GSL","I3M",44.57208375
"469","SQ1","C","GSL","Flavonol17",3.17445
"470","SQ1","C","GSL","Flavonol18",34.10563875
"471","SQ1","C","GSL","Indole",18.904415
"472","SQ1","C","GSL","totalaliphatic",1083.903165
"473","SQ1","C","GSL","totalindole",63.47649875
"474","SQ1","C","GSL","totalGSL",1147.37966375
"475","SQ1","C","GSL","logindoles",1.75587033341716
"476","SQ1","CW","GSL","X3MSO",16.1509525
"477","SQ1","CW","GSL","OHAlkenyl",0
"478","SQ1","CW","GSL","X4MSO",8.14203625
"479","SQ1","CW","GSL","Allyl",495.645255
"480","SQ1","CW","GSL","X5MSO",10.57846375
"481","SQ1","CW","GSL","Butenyl",112.396125
"482","SQ1","CW","GSL","X3MT",17.74848
"483","SQ1","CW","GSL","MSOO",4.52374125
"484","SQ1","CW","GSL","OHI3M",6.19282625
"485","SQ1","CW","GSL","X4MT",0
"486","SQ1","CW","GSL","Flavonol16",15.02652625
"487","SQ1","CW","GSL","I3M",108.006485
"488","SQ1","CW","GSL","Flavonol17",1.13587375
"489","SQ1","CW","GSL","Flavonol18",36.9581775
"490","SQ1","CW","GSL","Indole",19.18695125
"491","SQ1","CW","GSL","totalaliphatic",665.18505375
"492","SQ1","CW","GSL","totalindole",133.3862625
"493","SQ1","CW","GSL","totalGSL",798.57131625
"494","SQ1","CW","GSL","logindoles",1.98588369241263
"495","SQ2","C","GSL","X3MSO",28.0437942857143
"496","SQ2","C","GSL","OHAlkenyl",0
"497","SQ2","C","GSL","X4MSO",7.02334857142857
"498","SQ2","C","GSL","Allyl",817.469525714286
"499","SQ2","C","GSL","X5MSO",35.297445
"500","SQ2","C","GSL","Butenyl",170.576432857143
"501","SQ2","C","GSL","X3MT",4.98283642857143
"502","SQ2","C","GSL","MSOO",24.0147807142857
"503","SQ2","C","GSL","OHI3M",3.68451071428571
"504","SQ2","C","GSL","X4MT",6.06894571428571
"505","SQ2","C","GSL","Flavonol16",19.3422671428571
"506","SQ2","C","GSL","I3M",146.175493571429
"507","SQ2","C","GSL","Flavonol17",8.52314214285714
"508","SQ2","C","GSL","Flavonol18",34.5196278571429
"509","SQ2","C","GSL","Indole",18.5770414285714
"510","SQ2","C","GSL","totalaliphatic",1093.47710928571
"511","SQ2","C","GSL","totalindole",168.437045714286
"512","SQ2","C","GSL","totalGSL",1261.914155
"513","SQ2","C","GSL","logindoles",2.08062248181528
"514","SQ2","CW","GSL","X3MSO",30.4345135714286
"515","SQ2","CW","GSL","OHAlkenyl",6.75050142857143
"516","SQ2","CW","GSL","X4MSO",1.18059785714286
"517","SQ2","CW","GSL","Allyl",715.332017142857
"518","SQ2","CW","GSL","X5MSO",19.15513
"519","SQ2","CW","GSL","Butenyl",77.0947842857143
"520","SQ2","CW","GSL","X3MT",13.2177564285714
"521","SQ2","CW","GSL","MSOO",8.52335071428571
"522","SQ2","CW","GSL","OHI3M",7.74787571428571
"523","SQ2","CW","GSL","X4MT",3.93020928571429
"524","SQ2","CW","GSL","Flavonol16",21.6949335714286
"525","SQ2","CW","GSL","I3M",118.332807142857
"526","SQ2","CW","GSL","Flavonol17",9.47021642857143
"527","SQ2","CW","GSL","Flavonol18",45.5108221428571
"528","SQ2","CW","GSL","Indole",14.6675314285714
"529","SQ2","CW","GSL","totalaliphatic",875.618860714286
"530","SQ2","CW","GSL","totalindole",140.748214285714
"531","SQ2","CW","GSL","totalGSL",1016.367075
"532","SQ2","CW","GSL","logindoles",1.86913354066736
"533","TFC","C","GSL","X3MSO",54.854485
"534","TFC","C","GSL","OHAlkenyl",0
"535","TFC","C","GSL","X4MSO",23.22397
